"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Ja'Marr Chase","CIN","122.5","1505.5","11.0","2.3","12.7","0.0","1.0","338.3"
"Puka Nacua","LAR","117.0","1539.0","9.0","13.0","85.0","1.1","1.0","338.3"
"Amon-Ra St. Brown","DET","122.5","1452.1","10.7","4.6","19.6","0.1","0.4","333.5"
"Jaxon Smith-Njigba","SEA","109.9","1566.1","9.3","6.6","34.1","0.1","1.1","324.2"
"CeeDee Lamb","DAL","101.1","1345.2","7.9","4.1","20.6","0.1","0.3","285.2"
"Rashee Rice","KC","99.9","1134.1","9.3","4.3","19.5","0.6","0.6","274.1"
"Justin Jefferson","MIN","101.2","1297.7","7.2","1.0","4.2","0.0","0.3","274.0"
"Drake London","ATL","97.7","1263.7","8.2","0.0","0.0","0.0","1.0","271.3"
"A.J. Brown","NE","91.6","1273.2","7.9","0.0","0.0","0.0","0.3","265.9"
"Chris Olave","NO","96.2","1183.8","7.7","1.4","5.6","0.0","0.3","261.2"
"George Pickens","DAL","83.6","1206.7","8.2","0.3","-0.3","0.0","0.4","252.4"
"Zay Flowers","BAL","83.8","1207.7","6.8","12.7","68.3","0.5","1.5","252.2"
"Nico Collins","HOU","85.3","1215.3","7.1","1.0","6.2","0.3","0.8","250.0"
"Garrett Wilson","NYJ","94.5","1074.7","6.0","2.1","9.1","0.1","1.1","236.9"
"DeVonta Smith","PHI","87.0","1120.3","6.0","0.0","0.0","0.0","0.3","234.2"
"Davante Adams","LAR","70.0","936.3","9.9","0.0","0.0","0.0","0.2","222.6"
"Tetairoa McMillan","CAR","78.4","1086.1","6.1","0.0","0.0","0.0","0.9","222.0"
"Tee Higgins","CIN","71.5","971.1","8.7","0.0","0.0","0.0","0.2","220.5"
"Emeka Egbuka","TB","70.9","1037.2","7.2","2.2","11.1","0.1","0.3","218.6"
"Jameson Williams","DET","65.4","1053.9","6.5","5.7","31.8","0.4","0.2","215.1"
"Ladd McConkey","LAC","77.9","983.7","6.2","0.0","0.0","0.0","0.3","212.9"
"Jaylen Waddle","DEN","75.0","990.6","5.8","1.3","9.3","0.0","0.3","209.3"
"Malik Nabers","NYG","72.6","941.3","7.1","2.1","6.3","0.0","0.4","209.2"
"Luther Burden III","CHI","70.5","951.9","5.6","7.0","34.1","0.1","0.3","202.8"
"Terry McLaurin","WAS","68.1","950.2","6.7","0.3","0.3","0.0","0.3","202.7"
"Mike Evans","SF","66.3","914.3","7.1","0.0","0.0","0.0","0.2","199.9"
"DJ Moore","BUF","68.0","869.2","6.4","10.3","52.9","0.4","0.8","199.4"
"Christian Watson","GB","59.0","927.6","7.2","3.7","18.0","0.1","0.3","197.1"
"Parker Washington","JAC","66.9","913.5","5.8","8.4","31.6","0.2","0.4","196.5"
"Alec Pierce","IND","58.2","1023.6","5.8","0.0","0.0","0.0","0.2","195.0"
"DK Metcalf","PIT","65.1","911.1","6.1","0.5","2.5","0.3","0.2","193.9"
"Rome Odunze","CHI","60.3","905.5","7.1","0.3","1.0","0.0","0.3","193.2"
