"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Jahmyr Gibbs","DET","267.2","1413.3","13.2","70.4","566.7","4.1","1.1","369.6"
"Bijan Robinson","ATL","295.7","1426.4","9.0","73.8","663.7","3.4","1.8","353.3"
"Christian McCaffrey","SF","261.4","1088.1","8.4","78.4","686.8","4.5","1.1","331.3"
"Jonathan Taylor","IND","317.9","1465.8","12.7","45.2","353.7","1.6","1.7","309.4"
"De'Von Achane","MIA","237.3","1200.5","6.2","69.8","532.0","3.8","1.0","300.7"
"Chase Brown","CIN","249.9","1085.8","7.7","65.2","444.3","4.0","1.1","285.8"
"Derrick Henry","BAL","319.5","1541.5","13.2","21.6","210.8","1.0","1.7","278.5"
"Saquon Barkley","PHI","295.7","1327.4","8.3","45.0","353.3","2.2","1.0","274.2"
"James Cook III","BUF","297.7","1451.4","10.5","30.7","260.2","1.7","2.4","270.6"
"Kenneth Walker III","KC","264.5","1174.1","8.7","45.3","346.9","1.5","0.9","257.0"
"Ashton Jeanty","LV","265.7","1082.4","7.1","52.2","366.1","2.7","1.1","253.7"
"Omarion Hampton","LAC","249.7","1050.1","8.9","48.2","327.6","1.9","1.0","248.5"
"Breece Hall","NYJ","257.3","1151.2","6.1","45.9","394.2","2.1","1.7","246.6"
"Cam Skattebo","NYG","244.5","1009.9","7.7","44.2","338.8","2.1","1.6","234.3"
"Travis Etienne Jr.","NO","257.4","1077.3","5.9","43.0","332.1","2.7","1.0","233.5"
"Jeremiyah Love","ARI","223.4","990.0","6.4","49.0","384.2","1.9","2.2","231.7"
"Javonte Williams","DAL","261.0","1157.8","9.9","32.4","187.9","1.3","1.6","231.2"
"Kyren Williams","LAR","232.7","1080.0","9.4","30.8","215.2","2.0","1.5","226.0"
"D'Andre Swift","CHI","232.0","1041.3","7.9","36.5","307.7","1.3","1.0","224.9"
"Bucky Irving","TB","247.6","1001.0","5.7","37.2","307.8","2.0","1.0","212.3"
"Quinshon Judkins","CLE","287.4","1125.1","7.5","29.8","202.1","0.6","0.9","209.5"
"David Montgomery","HOU","237.7","998.0","8.4","29.8","222.0","0.7","1.5","203.1"
"Jaylen Warren","PIT","197.1","877.6","5.0","41.7","312.7","1.8","1.0","199.5"
"Rhamondre Stevenson","NE","181.1","782.0","6.6","39.7","328.7","1.7","2.1","196.4"
"Bhayshul Tuten","JAC","224.7","925.5","7.9","24.1","182.7","1.7","2.2","188.3"
"TreVeyon Henderson","NE","172.6","842.1","6.2","33.2","234.3","1.2","0.8","183.7"
"Tony Pollard","TEN","229.4","995.8","4.8","31.1","195.2","0.7","2.1","179.0"
"Chuba Hubbard","CAR","192.1","794.5","5.2","34.1","233.3","1.6","0.9","175.8"
"J.K. Dobbins","DEN","215.5","1019.6","6.8","19.0","103.6","0.7","0.7","175.0"
"Rico Dowdle","PIT","201.6","881.1","5.6","28.1","195.4","1.0","1.0","173.0"
"Aaron Jones Sr.","MIN","154.1","673.7","3.3","42.3","306.4","1.9","1.0","169.1"
"Jadarian Price","SEA","200.6","841.5","7.1","19.5","164.8","0.8","2.0","163.4"
"RJ Harvey","DEN","111.9","438.8","3.9","45.4","333.5","3.0","0.7","162.4"
"Kyle Monangai","CHI","179.6","769.7","5.3","24.4","198.9","0.7","0.7","155.4"
"Kenny Gainwell","TB","105.8","463.4","3.8","44.7","311.8","1.9","0.9","154.3"
"Rachaad White","WAS","140.4","606.9","4.9","32.8","225.6","1.5","0.8","152.6"
"Jacory Croskey-Merritt","WAS","187.8","836.4","7.2","12.1","88.6","0.3","1.8","146.3"
"Jonathon Brooks","CAR","166.2","688.9","4.7","26.2","198.0","1.0","1.5","145.7"
"Josh Jacobs","GB","157.7","639.4","6.0","21.1","162.6","1.0","1.0","141.4"
"Jordan Mason","MIN","172.6","790.9","5.6","17.4","99.3","0.4","1.1","140.0"
"Blake Corum","LAR","167.1","783.7","6.1","11.3","77.4","0.3","0.7","134.2"
"MarShawn Lloyd","GB","167.8","709.5","5.7","15.2","118.8","0.7","1.8","132.7"
"Woody Marks","HOU","152.1","608.5","3.1","24.4","195.5","1.6","0.8","131.5"
"Tyjae Spears","TEN","100.6","408.4","2.8","39.8","263.9","1.1","0.7","128.8"
"Alvin Kamara","NO","111.8","439.8","2.6","32.5","224.7","0.9","0.8","118.2"
"Zach Charbonnet","SEA","125.9","513.8","5.3","18.4","136.3","0.5","0.7","116.7"
"Dylan Sampson","CLE","72.0","260.6","1.4","37.7","284.0","1.9","1.2","109.1"
"AJ Dillon","CAR","121.0","532.0","3.0","18.0","146.0","1.0","5.0","99.8"
"Tyler Allgeier","ARI","101.6","394.8","3.3","22.5","163.2","0.4","0.6","99.7"
"Isiah Pacheco","DET","119.1","514.7","2.8","14.6","90.8","0.8","0.7","95.4"
"Braelon Allen","NYJ","115.6","472.1","4.1","13.0","94.1","0.6","1.7","94.5"
"Justice Hill","BAL","49.6","236.0","1.8","25.4","219.9","1.4","0.2","89.8"
"Kaelon Black","SF","113.6","452.6","3.6","10.6","95.2","0.7","1.2","88.7"
"Chris Rodriguez Jr.","JAC","128.3","540.2","4.7","4.1","32.6","0.0","0.6","88.4"
"Samaje Perine","CIN","87.8","386.7","3.0","17.1","136.3","0.5","1.9","86.5"
