"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Trey McBride","ARI","111.4","1100.2","6.6","0.2","260.4"
"Brock Bowers","LV","93.9","991.4","6.8","0.2","239.4"
"Colston Loveland","CHI","79.6","913.9","6.7","0.2","211.0"
"Tyler Warren","IND","77.9","846.3","5.2","0.3","200.8"
"Harold Fannin Jr.","CLE","79.5","790.5","5.2","0.8","198.4"
"Sam LaPorta","DET","73.0","837.6","5.9","0.2","191.7"
"George Kittle","SF","70.4","809.2","6.0","0.2","187.0"
"Travis Kelce","KC","75.4","796.7","5.2","0.3","185.7"
"Dallas Goedert","PHI","69.6","730.3","7.1","0.2","185.0"
"Kyle Pitts Sr.","ATL","74.6","799.6","4.4","0.1","180.7"
"Tucker Kraft","GB","59.9","777.2","6.1","0.2","173.8"
"Mark Andrews","BAL","60.4","634.4","7.6","0.3","172.3"
"Isaiah Likely","NYG","62.1","724.2","4.8","1.3","161.0"
"Jake Ferguson","DAL","70.5","566.8","5.7","1.4","158.7"
"Hunter Henry","NE","58.1","679.8","5.4","0.1","158.2"
"Dalton Kincaid","BUF","56.4","689.2","5.1","0.2","155.3"
"Brenton Strange","JAC","61.0","663.5","4.4","0.2","153.1"
"Juwan Johnson","NO","63.3","712.1","3.5","1.3","152.8"
"Dalton Schultz","HOU","63.1","597.0","3.3","0.2","142.4"
"T.J. Hockenson","MIN","63.0","567.2","3.4","0.2","139.6"
"Greg Dulcich","MIA","56.4","649.6","3.2","1.2","138.0"
"Kenyon Sadiq","NYJ","52.0","554.2","4.0","0.7","130.0"
"Pat Freiermuth","PIT","51.8","541.8","4.1","0.2","129.8"
"Cade Otton","TB","52.6","528.4","3.3","0.1","124.7"
"Chig Okonkwo","WAS","50.1","526.6","2.8","0.1","119.0"
"Terrance Ferguson","LAR","37.7","490.9","4.6","0.2","117.5"
"Darren Waller","CAR","43.3","446.2","4.7","0.1","115.8"
"AJ Barner","SEA","44.0","427.5","4.4","0.2","112.5"
"Mike Gesicki","CIN","42.9","452.2","3.6","0.1","109.6"
"Evan Engram","DEN","49.5","437.3","2.5","0.1","108.3"
"Oronde Gadsden II","LAC","40.8","489.8","3.0","0.6","106.8"
"David Njoku","LAC","39.8","365.2","3.9","0.1","99.2"
"Gunnar Helm","TEN","40.6","364.5","2.6","0.2","92.3"
"Colby Parkinson","LAR","33.6","338.6","3.8","0.6","88.8"
"Mason Taylor","NYJ","40.0","353.8","2.2","0.1","88.5"
"Michael Mayer","LV","38.1","360.0","2.0","0.1","85.9"
"Dawson Knox","BUF","31.4","359.4","3.0","0.1","85.3"
"Darnell Washington","PIT","33.0","344.0","2.1","0.6","84.7"
"Cole Kmet","CHI","27.6","288.6","2.3","0.1","69.9"
"Theo Johnson","NYG","25.8","286.2","2.5","0.1","69.1"
"Tyler Higbee","LAR","24.0","275.1","2.2","0.0","64.9"
"Will Kacmarek","MIA","26.5","251.4","1.9","0.6","61.8"
"Noah Fant","NO","26.7","252.2","1.5","1.6","57.6"
"Erick All Jr.","CIN","25.1","222.0","1.6","0.1","56.8"
"Austin Hooper","ATL","23.4","238.3","1.4","0.1","55.7"
"Ben Yurosek","MIN","23.8","216.1","1.6","0.0","55.2"
"Tommy Tremble","CAR","23.1","213.7","1.8","0.1","55.2"
"Brock Wright","DET","20.9","187.6","2.3","0.0","53.4"
"Josh Oliver","MIN","19.9","201.1","2.2","0.1","53.1"
"Adam Trautman","DEN","21.0","211.4","1.6","0.1","51.5"
"Charlie Kolar","LAC","19.2","214.6","1.8","0.1","51.1"
"Jonnu Smith","GB","21.2","185.4","1.9","0.1","51.0"
"Eli Stowers","PHI","20.9","214.9","1.4","0.6","49.6"
"Noah Gray","KC","19.8","201.5","1.4","0.1","48.4"
"Ja'Tavion Sanders","CAR","22.5","184.9","1.1","0.1","47.5"
"Elijah Arroyo","SEA","17.1","178.0","1.4","0.1","43.3"
"Elijah Higgins","ARI","19.0","178.3","0.8","0.6","40.4"
"Luke Musgrave","GB","17.1","161.0","1.0","0.0","39.2"
"John Bates","WAS","16.0","155.6","1.4","0.6","38.6"
"Luke Schoonmaker","DAL","16.2","147.8","1.3","0.0","38.5"
"Daniel Bellinger","TEN","14.3","161.1","1.3","0.0","37.9"
"Mo Alie-Cox","IND","15.2","160.2","1.1","0.1","37.4"
"Eli Raridon","NE","15.2","157.8","1.2","0.6","37.2"
"Nate Boerkircher","JAC","14.9","156.8","1.3","0.5","37.2"
"Drew Sample","CIN","16.3","132.1","1.2","0.1","36.3"
"Jeremy Ruckert","NYJ","16.7","127.8","1.0","0.0","35.5"
"Foster Moreau","HOU","13.0","142.6","1.3","0.0","35.1"
"Charlie Woerner","ATL","15.8","137.1","0.8","0.0","34.5"
"Mitchell Evans","CAR","11.6","104.7","1.0","0.0","34.3"
"Ben Sinnott","WAS","13.3","130.4","1.3","0.0","34.2"
"Davis Allen","LAR","12.7","118.0","1.4","0.0","32.6"
"Marlin Klein","HOU","14.3","142.2","0.8","0.5","32.4"
"Durham Smythe","BAL","12.7","129.7","1.1","0.0","32.3"
"Cade Stover","HOU","12.9","109.2","0.7","0.1","31.8"
"Jack Endries","CIN","13.0","123.0","1.0","0.0","31.3"
"Will Mallory","IND","12.3","128.4","0.9","0.0","30.8"
"Jake Tonges","SF","12.4","122.3","1.0","0.0","30.5"
"Hunter Long","ARI","13.1","113.7","0.9","0.0","30.0"
"Connor Heyward","LV","10.7","85.0","1.2","0.0","29.4"
"Dallen Bentley","DEN","12.0","104.0","1.0","0.0","28.4"
"Bauer Sharp","TB","11.0","113.0","1.0","0.0","28.3"
"Blake Whiteheart","CLE","12.9","115.4","0.6","0.1","28.2"
"Nate Adkins","DEN","10.7","83.3","1.4","0.0","27.5"
"Max Klare","LAR","10.8","111.7","0.9","0.0","27.4"
"Jackson Hawes","BUF","9.9","105.5","1.2","0.0","27.4"
"Payne Durham","TB","10.3","104.1","1.0","0.0","26.5"
"Thomas Fidone II","NYG","10.0","101.0","1.0","0.0","26.1"
"Drew Ogletree","IND","10.7","104.6","0.8","0.0","26.0"
"James Mitchell","DAL","11.4","106.1","0.7","0.0","26.0"
"Quintin Morris","JAC","9.8","94.5","0.7","0.0","23.3"
"Oscar Delp","NO","9.4","94.5","0.7","0.0","23.2"
"Eric Saubert","SEA","9.3","88.1","0.8","0.0","23.0"
